ILSVRC2012_val_00000001.JPEG,65,n01751748
ILSVRC2012_val_00000002.JPEG,970,n09193705
ILSVRC2012_val_00000003.JPEG,230,n02105855
ILSVRC2012_val_00000004.JPEG,809,n04263257
ILSVRC2012_val_00000005.JPEG,516,n03125729
ILSVRC2012_val_00000006.JPEG,57,n01735189
ILSVRC2012_val_00000007.JPEG,334,n02346627
ILSVRC2012_val_00000008.JPEG,415,n02776631
ILSVRC2012_val_00000009.JPEG,674,n03794056
ILSVRC2012_val_00000010.JPEG,332,n02328150
ILSVRC2012_val_00000011.JPEG,109,n01917289
ILSVRC2012_val_00000012.JPEG,286,n02125311
ILSVRC2012_val_00000013.JPEG,370,n02484975
ILSVRC2012_val_00000014.JPEG,757,n04065272
ILSVRC2012_val_00000015.JPEG,595,n03496892
ILSVRC2012_val_00000016.JPEG,147,n02066245
ILSVRC2012_val_00000017.JPEG,108,n01914609
ILSVRC2012_val_00000018.JPEG,23,n01616318
ILSVRC2012_val_00000019.JPEG,478,n02971356
ILSVRC2012_val_00000020.JPEG,517,n03126707
ILSVRC2012_val_00000021.JPEG,334,n02346627
ILSVRC2012_val_00000022.JPEG,173,n02091244
ILSVRC2012_val_00000023.JPEG,948,n07742313
ILSVRC2012_val_00000024.JPEG,727,n03956157
ILSVRC2012_val_00000025.JPEG,23,n01616318
ILSVRC2012_val_00000026.JPEG,846,n04380533
ILSVRC2012_val_00000027.JPEG,270,n02114548
ILSVRC2012_val_00000028.JPEG,167,n02089973
ILSVRC2012_val_00000029.JPEG,55,n01729977
ILSVRC2012_val_00000030.JPEG,858,n04435653
ILSVRC2012_val_00000031.JPEG,324,n02280649
ILSVRC2012_val_00000032.JPEG,573,n03444034
ILSVRC2012_val_00000033.JPEG,150,n02077923
ILSVRC2012_val_00000034.JPEG,981,n09835506
ILSVRC2012_val_00000035.JPEG,586,n03478589
ILSVRC2012_val_00000036.JPEG,887,n04532106
ILSVRC2012_val_00000037.JPEG,32,n01644900
ILSVRC2012_val_00000038.JPEG,398,n02666196
ILSVRC2012_val_00000039.JPEG,777,n04141327
ILSVRC2012_val_00000040.JPEG,74,n01773797
ILSVRC2012_val_00000041.JPEG,516,n03125729
ILSVRC2012_val_00000042.JPEG,756,n04049303
ILSVRC2012_val_00000043.JPEG,129,n02006656
ILSVRC2012_val_00000044.JPEG,198,n02097209
ILSVRC2012_val_00000045.JPEG,256,n02111277
ILSVRC2012_val_00000046.JPEG,725,n03950228
ILSVRC2012_val_00000047.JPEG,565,n03393912
ILSVRC2012_val_00000048.JPEG,167,n02089973
ILSVRC2012_val_00000049.JPEG,717,n03930630
ILSVRC2012_val_00000050.JPEG,394,n02640242
ILSVRC2012_val_00000051.JPEG,92,n01828970
ILSVRC2012_val_00000052.JPEG,29,n01632777
ILSVRC2012_val_00000053.JPEG,844,n04372370
ILSVRC2012_val_00000054.JPEG,591,n03485794
ILSVRC2012_val_00000055.JPEG,358,n02443114
ILSVRC2012_val_00000056.JPEG,468,n02930766
ILSVRC2012_val_00000057.JPEG,259,n02112018
ILSVRC2012_val_00000058.JPEG,994,n13040303
ILSVRC2012_val_00000059.JPEG,872,n04485082
ILSVRC2012_val_00000060.JPEG,588,n03482405
ILSVRC2012_val_00000061.JPEG,474,n02963159
ILSVRC2012_val_00000062.JPEG,183,n02093859
ILSVRC2012_val_00000063.JPEG,107,n01910747
ILSVRC2012_val_00000064.JPEG,46,n01693334
ILSVRC2012_val_00000065.JPEG,842,n04371430
ILSVRC2012_val_00000066.JPEG,390,n02526121
ILSVRC2012_val_00000067.JPEG,101,n01871265
ILSVRC2012_val_00000068.JPEG,887,n04532106
ILSVRC2012_val_00000069.JPEG,870,n04482393
ILSVRC2012_val_00000070.JPEG,841,n04370456
ILSVRC2012_val_00000071.JPEG,467,n02927161
ILSVRC2012_val_00000072.JPEG,149,n02074367
ILSVRC2012_val_00000073.JPEG,21,n01608432
ILSVRC2012_val_00000074.JPEG,476,n02966193
ILSVRC2012_val_00000075.JPEG,80,n01795545
ILSVRC2012_val_00000076.JPEG,424,n02791270
ILSVRC2012_val_00000077.JPEG,159,n02087394
ILSVRC2012_val_00000078.JPEG,275,n02116738
ILSVRC2012_val_00000079.JPEG,175,n02091635
ILSVRC2012_val_00000080.JPEG,461,n02895154
ILSVRC2012_val_00000081.JPEG,970,n09193705
ILSVRC2012_val_00000082.JPEG,160,n02088094
ILSVRC2012_val_00000083.JPEG,788,n04200800
ILSVRC2012_val_00000084.JPEG,58,n01737021
ILSVRC2012_val_00000085.JPEG,479,n02974003
ILSVRC2012_val_00000086.JPEG,498,n03032252
ILSVRC2012_val_00000087.JPEG,369,n02483708
ILSVRC2012_val_00000088.JPEG,28,n01632458
ILSVRC2012_val_00000089.JPEG,487,n02992529
ILSVRC2012_val_00000090.JPEG,50,n01698640
ILSVRC2012_val_00000091.JPEG,270,n02114548
ILSVRC2012_val_00000092.JPEG,383,n02497673
ILSVRC2012_val_00000093.JPEG,366,n02480855
ILSVRC2012_val_00000094.JPEG,780,n04147183
ILSVRC2012_val_00000095.JPEG,373,n02487347
ILSVRC2012_val_00000096.JPEG,705,n03895866
ILSVRC2012_val_00000097.JPEG,330,n02325366
ILSVRC2012_val_00000098.JPEG,142,n02033041
ILSVRC2012_val_00000099.JPEG,949,n07745940
